,Home Team,Away Team,Home Goals,Away Goals,Home Ast,Away Ast,Home xG,Away xG
235,Stuttgart,Augsburg,3,2,2,2,2.2,1.0
236,Greuther Fürth,Freiburg,0,0,0,0,1.0,1.2
237,Bayern Munich,Union Berlin,4,0,3,0,2.7,1.0
238,Köln,Dortmund,1,1,1,1,1.2,1.2
239,RB Leipzig,Eintracht Frankfurt,0,0,0,0,1.2,0.2
240,Wolfsburg,Bayer Leverkusen,0,2,0,2,1.1,1.0
241,Union Berlin,Köln,1,0,0,0,1.3,0.3
242,Arminia,Stuttgart,1,1,1,0,1.0,2.3
243,Eintracht Frankfurt,Greuther Fürth,0,0,0,0,1.2,0.6
244,Bayer Leverkusen,Hertha BSC,2,1,2,1,1.6,0.8
245,Freiburg,Bayern Munich,1,4,1,3,0.6,2.2
246,Hoffenheim,Bochum,1,2,1,1,2.0,2.2
247,Dortmund,RB Leipzig,1,4,1,3,0.7,1.1
248,Augsburg,Wolfsburg,3,0,3,0,1.6,1.1
249,Mönchengladbach,Mainz 05,1,1,1,1,1.5,2.1
250,Augsburg,Mainz 05,2,1,1,1,1.8,1.8
251,Stuttgart,Dortmund,0,2,0,2,1.7,1.9
252,Bayern Munich,Augsburg,1,0,0,0,1.5,0.2
253,Wolfsburg,Arminia,4,0,3,0,2.0,0.4
254,Köln,Mainz 05,3,2,2,2,1.9,1.0
255,Hertha BSC,Union Berlin,1,4,0,4,0.7,1.9
256,Greuther Fürth,Mönchengladbach,0,2,0,1,0.5,2.7
257,Eintracht Frankfurt,Freiburg,1,2,1,2,0.9,1.0
258,Bochum,Bayer Leverkusen,0,0,0,0,0.7,1.4
259,RB Leipzig,Hoffenheim,3,0,3,0,1.5,0.2
260,Augsburg,Hertha BSC,0,1,0,1,1.0,1.1
261,Mönchengladbach,Köln,1,3,1,3,1.2,2.1
262,Freiburg,Bochum,3,0,3,0,2.2,0.4
263,Dortmund,Wolfsburg,6,1,6,0,3.0,1.6
264,Mainz 05,Stuttgart,0,0,0,0,0.6,0.7
265,Hoffenheim,Greuther Fürth,0,0,0,0,1.0,0.3
266,Arminia,Bayern Munich,0,3,0,2,0.4,2.7
267,Bayer Leverkusen,RB Leipzig,0,1,0,1,0.8,0.5
268,Union Berlin,Eintracht Frankfurt,2,0,2,0,1.1,0.5
269,Wolfsburg,Mainz 05,5,0,2,0,3.9,0.7
270,Köln,Arminia,3,1,3,0,2.0,0.9
271,Eintracht Frankfurt,Hoffenheim,2,2,2,1,1.3,0.7
272,Bayern Munich,Dortmund,3,1,3,0,1.8,1.3
273,Greuther Fürth,Bayer Leverkusen,1,4,1,2,0.9,2.5
274,Freiburg,Mönchengladbach,3,3,2,2,2.3,1.6
275,RB Leipzig,Union Berlin,1,2,0,2,0.6,1.4
276,Hertha BSC,Stuttgart,2,0,2,0,1.4,0.6
277,Bochum,Augsburg,0,2,0,0,1.2,2.0
278,Union Berlin,Greuther Fürth,1,1,0,0,1.4,0.3
279,Hoffenheim,Freiburg,3,4,3,4,2.0,2.4
280,Dortmund,Bochum,3,4,1,3,4.4,1.6
281,Augsburg,Köln,1,4,1,3,1.7,2.5
282,Stuttgart,Wolfsburg,1,1,1,1,0.8,1.4
283,Mainz 05,Bayern Munich,3,1,3,1,3.4,1.4
284,Arminia,Hertha BSC,1,1,1,1,0.5,1.5
285,Bayer Leverkusen,Eintracht Frankfurt,2,0,2,0,1.8,0.3
286,Mönchengladbach,RB Leipzig,3,1,2,1,1.5,1.1
287,Bochum,Arminia,2,1,1,1,2.1,0.8
288,Greuther Fürth,Dortmund,1,3,1,2,1.3,1.5
289,Köln,Wolfsburg,0,1,0,1,1.2,1.1
290,Hoffenheim,Bayer Leverkusen,2,4,2,4,2.6,4.0
291,Freiburg,Union Berlin,1,4,1,2,1.8,2.0
292,Hertha BSC,Mainz 05,1,2,0,2,1.1,0.7
293,Bayern Munich,Stuttgart,2,2,2,2,2.6,1.5
294,RB Leipzig,Augsburg,4,0,2,0,3.3,0.3
295,Eintracht Frankfurt,Mönchengladbach,1,1,1,1,0.8,1.4
296,Bayer Leverkusen,Freiburg,2,1,2,1,2.2,1.1
