,Home Team,Away Team,Home Goals,Away Goals,Home Ast,Away Ast,Home xG,Away xG
552,Eintracht Frankfurt,Mönchengladbach,1,1,1,1,2.2,1.2
553,RB Leipzig,Augsburg,3,2,3,1,1.8,0.7
554,Wolfsburg,Bayer Leverkusen,0,0,0,0,0.9,1.2
555,Werder Bremen,Freiburg,1,2,1,2,1.7,0.8
556,Union Berlin,Bochum,1,1,0,0,1.2,1.8
557,Augsburg,Stuttgart,1,1,1,0,0.7,1.1
558,Hoffenheim,Köln,1,3,0,1,0.9,1.7
559,Mainz 05,Bayern Munich,3,1,2,1,1.6,1.9
560,Dortmund,Eintracht Frankfurt,4,0,4,0,1.1,0.6
561,Hertha BSC,Werder Bremen,2,4,1,3,1.6,2.0
562,Bochum,Wolfsburg,1,5,0,3,3.0,4.3
563,Bayer Leverkusen,RB Leipzig,2,0,1,0,1.1,2.2
564,Mönchengladbach,Union Berlin,0,1,0,1,0.7,1.3
565,Freiburg,Schalke 04,4,0,3,0,2.1,0.3
566,Bochum,Dortmund,1,1,0,1,0.9,2.9
567,RB Leipzig,Hoffenheim,1,0,1,0,1.4,0.3
568,Union Berlin,Bayer Leverkusen,0,0,0,0,0.8,0.8
569,Eintracht Frankfurt,Augsburg,1,1,0,1,0.6,0.7
570,Köln,Freiburg,0,1,0,1,1.6,1.6
571,Schalke 04,Werder Bremen,2,1,2,1,1.6,1.2
572,Stuttgart,Mönchengladbach,2,1,1,0,2.4,1.2
573,Bayern Munich,Hertha BSC,2,0,2,0,2.7,0.1
574,Wolfsburg,Mainz 05,3,0,3,0,1.9,1.8
575,Mainz 05,Schalke 04,2,3,1,2,1.4,3.0
576,Bayer Leverkusen,Köln,1,2,1,2,0.9,0.8
577,Hertha BSC,Stuttgart,2,1,2,1,1.2,1.5
578,Hoffenheim,Eintracht Frankfurt,3,1,2,0,2.2,2.3
579,Freiburg,RB Leipzig,0,1,0,0,0.4,2.0
580,Mönchengladbach,Bochum,2,0,1,0,1.9,1.1
581,Werder Bremen,Bayern Munich,1,2,1,1,0.7,1.4
582,Augsburg,Union Berlin,1,0,1,0,0.9,0.7
583,Dortmund,Wolfsburg,6,0,6,0,4.2,1.4
584,Köln,Hertha BSC,5,2,4,1,4.5,1.1
585,Union Berlin,Freiburg,4,2,4,1,1.5,2.1
586,Wolfsburg,Hoffenheim,2,1,2,0,1.1,1.0
587,Eintracht Frankfurt,Mainz 05,3,0,2,0,2.3,1.0
588,Dortmund,Mönchengladbach,5,2,2,1,4.7,2.0
589,Bayern Munich,Schalke 04,6,0,4,0,5.4,0.4
590,Bochum,Augsburg,3,2,2,2,1.3,1.9
591,Stuttgart,Bayer Leverkusen,1,1,0,0,1.4,1.8
592,RB Leipzig,Werder Bremen,2,1,2,1,2.2,1.1
593,Freiburg,Wolfsburg,2,0,2,0,1.3,0.7
594,Bayern Munich,RB Leipzig,1,3,1,0,1.7,3.0
595,Schalke 04,Eintracht Frankfurt,2,2,2,2,1.0,1.6
596,Hoffenheim,Union Berlin,4,2,2,2,2.4,2.0
597,Hertha BSC,Bochum,1,1,1,1,1.2,1.1
598,Werder Bremen,Köln,1,1,1,1,1.9,1.4
599,Augsburg,Dortmund,0,3,0,1,0.2,3.3
600,Mainz 05,Stuttgart,1,4,0,3,1.4,1.8
601,Bayer Leverkusen,Mönchengladbach,2,2,2,1,1.6,1.7
602,RB Leipzig,Schalke 04,4,2,3,1,2.7,1.2
603,Union Berlin,Werder Bremen,1,0,1,0,0.9,0.4
604,Stuttgart,Hoffenheim,1,1,1,1,2.5,0.8
605,Bochum,Bayer Leverkusen,3,0,3,0,1.3,0.8
606,Wolfsburg,Hertha BSC,1,2,1,1,3.5,2.1
607,Mönchengladbach,Augsburg,2,0,2,0,3.2,0.5
608,Köln,Bayern Munich,1,2,0,2,1.3,1.3
609,Eintracht Frankfurt,Freiburg,2,1,1,0,2.1,1.6
610,Dortmund,Mainz 05,2,2,2,2,4.0,1.8
611,Werder Bremen,Bayern Munich,0,4,0,4,0.6,2.9
612,Hoffenheim,Freiburg,1,2,0,0,1.4,2.7
613,Bayer Leverkusen,RB Leipzig,3,2,3,2,1.4,1.6
614,Dortmund,Köln,1,0,1,0,2.1,1.3
615,Stuttgart,Bochum,5,0,5,0,3.1,0.8
616,Wolfsburg,Heidenheim,2,0,2,0,2.2,1.2
617,Augsburg,Mönchengladbach,4,4,3,3,2.3,1.7
618,Union Berlin,Mainz 05,4,1,4,0,1.9,2.3
619,Eintracht Frankfurt,Darmstadt 98,1,0,1,0,1.5,0.6
620,RB Leipzig,Stuttgart,5,1,3,1,1.8,1.1
621,Darmstadt 98,Union Berlin,1,4,0,3,2.3,1.7
622,Bochum,Dortmund,1,1,1,1,1.0,1.3
623,Köln,Wolfsburg,1,2,1,1,0.9,1.7
624,Mönchengladbach,Bayer Leverkusen,0,3,0,3,0.9,2.8
625,Heidenheim,Hoffenheim,2,3,1,1,2.5,3.0
626,Freiburg,Werder Bremen,1,0,1,0,2.7,1.1
627,Mainz 05,Eintracht Frankfurt,1,1,0,1,1.2,1.1
628,Bayern Munich,Augsburg,3,1,1,1,2.9,0.7
629,Dortmund,Heidenheim,2,2,1,1,3.4,2.4
630,Bayer Leverkusen,Darmstadt 98,5,1,5,1,2.8,0.4
631,Stuttgart,Freiburg,5,0,5,0,1.7,1.1
632,Augsburg,Bochum,2,2,1,2,2.2,1.7
633,Werder Bremen,Mainz 05,4,0,3,0,2.7,0.5
634,Mönchengladbach,Bayern Munich,1,2,1,2,0.3,2.4
635,Hoffenheim,Wolfsburg,3,1,3,1,2.0,1.2
636,Eintracht Frankfurt,Köln,1,1,1,0,1.4,0.9
637,Union Berlin,RB Leipzig,0,3,0,3,0.3,1.2
638,Bayern Munich,Bayer Leverkusen,2,2,1,0,2.1,2.1
639,Freiburg,Dortmund,2,4,2,4,1.1,2.4
640,Mainz 05,Stuttgart,1,3,1,3,1.0,1.6
641,Wolfsburg,Union Berlin,2,1,1,1,0.4,1.1
642,Bochum,Eintracht Frankfurt,1,1,0,0,2.0,0.6
643,RB Leipzig,Augsburg,3,0,3,0,1.1,1.7
644,Köln,Hoffenheim,1,3,1,1,1.0,1.0
645,Heidenheim,Werder Bremen,4,2,3,1,2.2,3.0
646,Darmstadt 98,Mönchengladbach,3,3,3,2,1.2,3.9
647,Stuttgart,Darmstadt 98,3,1,3,0,2.3,0.2
648,Bayern Munich,Bochum,7,0,5,0,5.1,0.1
649,Augsburg,Mainz 05,2,1,1,1,0.8,0.6
650,Werder Bremen,Köln,2,1,2,0,2.1,1.5
651,Dortmund,Wolfsburg,1,0,1,0,1.7,0.5
652,Union Berlin,Hoffenheim,0,2,0,1,1.6,2.0
653,Mönchengladbach,RB Leipzig,0,1,0,0,0.8,0.7
654,Bayer Leverkusen,Heidenheim,4,1,3,1,3.5,0.5
655,Eintracht Frankfurt,Freiburg,0,0,0,0,0.6,0.6
656,Hoffenheim,Dortmund,1,3,0,1,2.0,1.6
657,Heidenheim,Union Berlin,1,0,0,0,0.8,2.2
658,Bochum,Mönchengladbach,1,3,1,3,1.7,3.1
659,Köln,Stuttgart,0,2,0,1,0.7,2.7
660,Mainz 05,Bayer Leverkusen,0,3,0,1,0.5,1.1
661,RB Leipzig,Bayern Munich,2,2,2,1,0.7,2.4
662,Wolfsburg,Eintracht Frankfurt,2,0,0,0,3.3,1.3
663,Freiburg,Augsburg,2,0,1,0,1.0,0.8
664,Darmstadt 98,Werder Bremen,4,2,3,2,2.4,1.5
665,Mönchengladbach,Mainz 05,2,2,2,2,2.4,0.8
666,Werder Bremen,Hoffenheim,2,3,2,2,0.8,1.9
667,Dortmund,Union Berlin,4,2,2,1,1.6,1.4
668,Stuttgart,Wolfsburg,3,1,1,0,2.7,1.2
669,RB Leipzig,Bochum,0,0,0,0,2.5,0.4
670,Augsburg,Darmstadt 98,1,2,0,0,0.9,1.8
671,Eintracht Frankfurt,Heidenheim,2,0,1,0,1.9,1.2
672,Bayer Leverkusen,Köln,3,0,3,0,3.3,1.4
673,Bayern Munich,Freiburg,3,0,3,0,2.4,0.1
674,Dortmund,Werder Bremen,1,0,1,0,2.7,0.4
675,Wolfsburg,Bayer Leverkusen,1,2,1,2,1.5,1.9
676,Mainz 05,Bayern Munich,1,3,1,3,1.1,1.8
677,Freiburg,Bochum,2,1,1,1,2.4,1.5
678,Hoffenheim,Eintracht Frankfurt,1,3,1,2,1.4,2.5
679,Darmstadt 98,RB Leipzig,1,3,0,2,2.5,1.9
680,Union Berlin,Stuttgart,0,3,0,3,0.6,1.4
681,Heidenheim,Augsburg,2,5,2,3,1.6,2.6
682,Köln,Mönchengladbach,3,1,1,1,2.7,0.3
683,Bochum,Mainz 05,2,2,1,1,1.4,0.4
684,Mönchengladbach,Heidenheim,2,1,0,0,1.0,0.4
685,Stuttgart,Hoffenheim,2,3,1,0,3.6,1.8
686,RB Leipzig,Köln,6,0,3,0,4.3,0.9
687,Werder Bremen,Union Berlin,2,0,1,0,0.8,0.6
688,Bayern Munich,Darmstadt 98,8,0,8,0,5.9,0.7
689,Augsburg,Wolfsburg,3,2,1,0,1.4,1.4
690,Bayer Leverkusen,Freiburg,2,1,2,1,1.4,0.9
691,Eintracht Frankfurt,Dortmund,3,3,1,2,2.8,2.2
692,Darmstadt 98,Bochum,1,2,1,1,0.7,1.2
693,Mainz 05,RB Leipzig,2,0,1,0,1.0,0.5
694,Union Berlin,Eintracht Frankfurt,0,3,0,2,0.7,1.6
695,Köln,Augsburg,1,1,0,1,2.1,2.6
696,Dortmund,Bayern Munich,0,4,0,4,1.0,3.4
697,Hoffenheim,Bayer Leverkusen,2,3,0,3,1.8,1.0
698,Freiburg,Mönchengladbach,3,3,2,2,3.4,2.2
699,Heidenheim,Stuttgart,2,0,1,0,1.2,2.9
700,Wolfsburg,Werder Bremen,2,2,1,1,1.6,1.3
701,Mönchengladbach,Wolfsburg,4,0,3,0,1.5,0.5
702,Darmstadt 98,Mainz 05,0,0,0,0,0.5,0.7
703,Augsburg,Hoffenheim,1,1,1,1,1.0,0.9
704,Bochum,Köln,1,1,0,1,4.0,0.9
705,Stuttgart,Dortmund,2,1,1,1,4.3,1.0
706,Bayern Munich,Heidenheim,4,2,3,0,2.0,0.9
707,RB Leipzig,Freiburg,3,1,1,1,1.9,0.5
708,Werder Bremen,Eintracht Frankfurt,2,2,1,2,1.5,2.0
709,Bayer Leverkusen,Union Berlin,4,0,4,0,2.4,0.0
710,Köln,Bayern Munich,0,1,0,0,0.2,3.9
711,Wolfsburg,RB Leipzig,2,1,2,1,1.0,2.8
712,Eintracht Frankfurt,Stuttgart,1,2,0,2,0.9,2.3
713,Freiburg,Darmstadt 98,1,1,1,1,1.6,0.4
714,Dortmund,Mönchengladbach,4,2,3,2,3.2,1.0
715,Werder Bremen,Bayer Leverkusen,0,3,0,2,0.2,1.0
716,Union Berlin,Augsburg,1,1,0,0,2.2,1.7
717,Heidenheim,Bochum,0,0,0,0,0.8,0.4
718,Hoffenheim,Mainz 05,1,1,1,1,1.5,1.8
719,Darmstadt 98,Köln,0,1,0,0,0.7,1.5
720,RB Leipzig,Heidenheim,2,1,1,1,4.1,1.1
721,Mönchengladbach,Hoffenheim,2,1,1,1,1.6,1.4
722,Bochum,Wolfsburg,3,1,3,1,1.5,1.3
723,Stuttgart,Werder Bremen,2,0,0,0,3.5,0.8
724,Augsburg,Eintracht Frankfurt,2,1,2,0,1.4,1.1
725,Bayer Leverkusen,Dortmund,1,1,0,1,2.1,0.7
726,Mainz 05,Freiburg,0,1,0,1,2.4,0.9
727,Hoffenheim,Bochum,3,1,2,1,1.5,1.6
728,Wolfsburg,Freiburg,0,1,0,1,1.2,1.1
729,Werder Bremen,Augsburg,2,0,2,0,1.5,0.7
730,Eintracht Frankfurt,Bayern Munich,5,1,3,1,1.3,2.1
731,Union Berlin,Mönchengladbach,3,1,0,1,2.1,1.1
732,Dortmund,RB Leipzig,2,3,2,1,1.6,2.9
733,Heidenheim,Darmstadt 98,3,2,3,1,1.5,0.9
734,Stuttgart,Bayer Leverkusen,1,1,1,1,2.7,1.3
735,Köln,Mainz 05,0,0,0,0,0.3,1.5
736,Mönchengladbach,Werder Bremen,2,2,2,2,1.4,1.6
737,Mainz 05,Heidenheim,0,1,0,1,1.6,0.5
738,Bochum,Union Berlin,3,0,1,0,2.8,0.7
739,RB Leipzig,Hoffenheim,3,1,1,1,3.1,0.8
740,Darmstadt 98,Wolfsburg,0,1,0,1,0.6,0.6
741,Augsburg,Dortmund,1,1,1,1,1.8,2.8
742,Bayern Munich,Stuttgart,3,0,2,0,2.9,0.4
743,Bayer Leverkusen,Eintracht Frankfurt,3,0,2,0,2.7,0.2
744,Freiburg,Köln,2,0,2,0,3.3,1.2
745,Werder Bremen,RB Leipzig,1,1,1,0,1.5,1.7
746,Hoffenheim,Darmstadt 98,3,3,2,3,3.5,0.8
747,Dortmund,Mainz 05,1,1,0,1,1.2,1.0
748,Union Berlin,Köln,2,0,2,0,1.6,0.8
749,Bayer Leverkusen,Bochum,4,0,3,0,3.3,0.4
750,Stuttgart,Augsburg,3,0,3,0,2.6,0.3
751,Heidenheim,Freiburg,3,2,2,1,1.9,1.8
752,Wolfsburg,Bayern Munich,1,2,1,2,0.3,2.6
753,Eintracht Frankfurt,Mönchengladbach,2,1,1,1,1.4,0.3
754,Bayern Munich,Hoffenheim,3,0,3,0,2.8,1.2
755,Köln,Heidenheim,1,1,1,0,0.9,1.0
756,Mainz 05,Wolfsburg,1,1,1,1,0.4,0.6
757,RB Leipzig,Eintracht Frankfurt,0,1,0,1,3.6,1.1
758,Augsburg,Bayer Leverkusen,0,1,0,1,0.4,2.0
759,Darmstadt 98,Dortmund,0,3,0,3,1.0,3.1
760,Freiburg,Union Berlin,0,0,0,0,1.8,0.5
761,Mönchengladbach,Stuttgart,3,1,2,1,2.0,0.9
762,Bochum,Werder Bremen,1,1,1,1,0.7,0.8
763,Köln,Dortmund,0,4,0,3,1.3,3.4
764,RB Leipzig,Bayer Leverkusen,2,3,2,3,1.6,2.0
765,Freiburg,Hoffenheim,3,2,3,2,2.7,1.4
766,Heidenheim,Wolfsburg,1,1,0,1,1.1,1.1
767,Bochum,Stuttgart,1,0,1,0,0.9,1.4
768,Darmstadt 98,Eintracht Frankfurt,2,2,2,2,1.1,1.3
769,Mönchengladbach,Augsburg,1,2,0,2,1.7,1.3
770,Bayern Munich,Werder Bremen,0,1,0,0,1.9,0.4
771,Bayern Munich,Union Berlin,1,0,0,0,2.2,0.2
772,Eintracht Frankfurt,Mainz 05,1,0,1,0,1.3,0.8
773,Werder Bremen,Freiburg,3,1,1,0,2.5,1.2
774,Hoffenheim,Heidenheim,1,1,0,1,3.0,1.1
775,Stuttgart,RB Leipzig,5,2,2,2,2.3,0.4
776,Wolfsburg,Köln,1,1,1,0,1.5,0.6
777,Bayer Leverkusen,Mönchengladbach,0,0,0,0,3.0,0.3
778,Augsburg,Bayern Munich,2,3,1,1,2.6,2.3
779,Union Berlin,Darmstadt 98,1,0,1,0,2.5,1.1
780,Dortmund,Bochum,3,1,1,0,3.0,0.5
781,Heidenheim,Dortmund,0,0,0,0,1.2,0.6
782,Köln,Eintracht Frankfurt,2,0,2,0,1.4,0.8
783,Darmstadt 98,Bayer Leverkusen,0,2,0,2,0.6,1.9
784,Bayern Munich,Mönchengladbach,3,1,2,1,2.1,1.0
785,Freiburg,Stuttgart,1,3,1,3,0.7,1.8
786,Mainz 05,Werder Bremen,0,1,0,0,0.8,0.6
787,Bochum,Augsburg,1,1,0,0,0.9,1.7
788,RB Leipzig,Union Berlin,2,0,1,0,1.1,0.5
789,Wolfsburg,Hoffenheim,2,2,1,2,1.7,1.7
790,Mainz 05,Union Berlin,1,1,1,1,1.4,1.0
791,Dortmund,Freiburg,3,0,3,0,1.9,0.3
792,Eintracht Frankfurt,Bochum,1,1,1,1,2.4,1.5
793,Werder Bremen,Heidenheim,1,2,1,2,1.7,2.0
794,Augsburg,RB Leipzig,2,2,2,2,0.7,1.4
795,Bayer Leverkusen,Bayern Munich,3,0,3,0,1.3,0.6
796,Mönchengladbach,Darmstadt 98,0,0,0,0,1.6,0.7
797,Union Berlin,Wolfsburg,1,0,1,0,0.5,1.3
798,Stuttgart,Mainz 05,3,1,3,1,1.9,1.4
799,Hoffenheim,Köln,1,1,0,0,1.3,0.1
800,Köln,Werder Bremen,0,1,0,1,0.8,1.8
801,RB Leipzig,Mönchengladbach,2,0,2,0,1.7,0.7
802,Mainz 05,Augsburg,1,0,1,0,2.2,1.0
803,Heidenheim,Bayer Leverkusen,1,2,1,2,0.4,1.9
804,Darmstadt 98,Stuttgart,1,2,1,1,1.7,1.8
805,Wolfsburg,Dortmund,1,1,0,1,1.9,1.4
806,Hoffenheim,Union Berlin,0,1,0,1,1.1,1.4
807,Bochum,Bayern Munich,3,2,2,2,1.7,3.4
808,Freiburg,Eintracht Frankfurt,3,3,2,3,2.3,1.0
809,Bayer Leverkusen,Mainz 05,2,1,1,1,1.2,1.1
810,Bayern Munich,RB Leipzig,2,1,2,1,1.5,0.9
811,Mönchengladbach,Bochum,5,2,3,2,3.7,1.6
812,Werder Bremen,Darmstadt 98,1,1,0,1,1.8,1.0
813,Union Berlin,Heidenheim,2,2,1,1,1.1,1.1
814,Stuttgart,Köln,1,1,1,1,2.2,0.7
815,Eintracht Frankfurt,Wolfsburg,2,2,2,2,0.9,1.0
816,Augsburg,Freiburg,2,1,1,0,1.7,1.6
817,Dortmund,Hoffenheim,2,3,2,2,1.9,1.3
818,Freiburg,Bayern Munich,2,2,2,1,1.5,1.8
819,Bochum,RB Leipzig,1,4,0,3,0.8,2.1
820,Union Berlin,Dortmund,0,2,0,1,1.3,1.6
821,Heidenheim,Eintracht Frankfurt,1,2,1,1,1.0,1.2
822,Darmstadt 98,Augsburg,0,6,0,4,0.8,2.9
823,Wolfsburg,Stuttgart,2,3,1,2,0.9,1.1
824,Mainz 05,Mönchengladbach,1,1,1,1,1.0,1.0
825,Hoffenheim,Werder Bremen,2,1,2,1,1.7,1.3
826,Köln,Bayer Leverkusen,0,2,0,1,1.0,1.6
827,Stuttgart,Union Berlin,2,0,1,0,1.0,0.9
828,Mönchengladbach,Köln,3,3,3,3,1.8,0.6
829,RB Leipzig,Darmstadt 98,2,0,1,0,3.3,0.5
830,Augsburg,Heidenheim,1,0,1,0,0.5,0.4
831,Bayern Munich,Mainz 05,8,1,6,1,6.6,0.8
832,Werder Bremen,Dortmund,1,2,1,1,1.8,1.2
833,Bochum,Freiburg,1,2,1,2,1.2,1.4
834,Bayer Leverkusen,Wolfsburg,2,0,2,0,2.1,0.2
835,Eintracht Frankfurt,Hoffenheim,3,1,3,1,2.4,0.6
836,Köln,RB Leipzig,1,5,1,4,1.3,3.4
837,Darmstadt 98,Bayern Munich,2,5,2,2,1.2,3.7
838,Wolfsburg,Augsburg,1,3,1,3,1.4,0.8
839,Union Berlin,Werder Bremen,2,1,1,1,1.1,1.1
840,Mainz 05,Bochum,2,0,1,0,2.5,0.8
841,Hoffenheim,Stuttgart,0,3,0,2,0.5,3.8
842,Heidenheim,Mönchengladbach,1,1,1,1,1.2,0.5
843,Dortmund,Eintracht Frankfurt,3,1,2,0,2.3,1.0
844,Freiburg,Bayer Leverkusen,2,3,1,2,0.9,2.3
845,Bayern Munich,Dortmund,0,2,0,2,1.5,0.9
846,Mönchengladbach,Freiburg,0,3,0,1,1.6,1.8
847,RB Leipzig,Mainz 05,0,0,0,0,2.8,0.9
848,Eintracht Frankfurt,Union Berlin,0,0,0,0,1.1,1.5
849,Werder Bremen,Wolfsburg,0,2,0,2,0.5,2.4
850,Bayer Leverkusen,Hoffenheim,2,1,2,1,3.2,0.8
851,Stuttgart,Heidenheim,3,3,3,2,3.1,1.3
852,Bochum,Darmstadt 98,2,2,2,2,1.8,0.9
853,Augsburg,Köln,1,1,1,1,2.2,1.3
854,Eintracht Frankfurt,Werder Bremen,1,1,1,0,2.2,1.7
855,Dortmund,Stuttgart,0,1,0,1,2.5,1.6
856,Freiburg,RB Leipzig,1,4,1,3,1.6,2.4
857,Köln,Bochum,2,1,2,1,1.1,0.6
858,Union Berlin,Bayer Leverkusen,0,1,0,0,0.3,2.9
859,Heidenheim,Bayern Munich,3,2,3,2,1.4,1.9
860,Mainz 05,Darmstadt 98,4,0,4,0,3.7,0.5
861,Wolfsburg,Mönchengladbach,1,3,1,2,1.2,1.1
862,Hoffenheim,Augsburg,3,1,3,1,1.8,1.3
863,Augsburg,Union Berlin,2,0,1,0,1.6,1.6
864,RB Leipzig,Wolfsburg,3,0,2,0,1.3,0.4
865,Mönchengladbach,Dortmund,1,2,1,1,1.2,1.3
866,Stuttgart,Eintracht Frankfurt,3,0,2,0,1.2,0.6
867,Mainz 05,Hoffenheim,4,1,4,1,2.2,0.5
868,Bayern Munich,Köln,2,0,1,0,2.2,0.9
869,Bochum,Heidenheim,1,1,1,0,1.3,1.1
870,Darmstadt 98,Freiburg,0,1,0,1,1.1,0.9
871,Bayer Leverkusen,Werder Bremen,5,0,4,0,3.2,0.7
872,Eintracht Frankfurt,Augsburg,3,1,2,1,1.8,0.5
873,Wolfsburg,Bochum,1,0,0,0,0.8,1.3
874,Heidenheim,RB Leipzig,1,2,1,1,1.0,1.8
875,Hoffenheim,Mönchengladbach,4,3,4,3,2.4,1.0
876,Union Berlin,Bayern Munich,1,5,1,4,1.4,1.4
877,Köln,Darmstadt 98,0,2,0,0,1.0,2.0
878,Dortmund,Bayer Leverkusen,1,1,1,1,0.5,1.1
879,Werder Bremen,Stuttgart,2,1,1,0,1.5,2.2
880,Freiburg,Mainz 05,1,1,1,1,1.1,1.1
881,Bochum,Hoffenheim,3,2,1,2,3.4,1.0
882,RB Leipzig,Dortmund,4,1,3,0,2.6,1.7
883,Freiburg,Wolfsburg,1,2,0,1,2.3,0.5
884,Augsburg,Werder Bremen,0,3,0,2,0.6,2.0
885,Bayer Leverkusen,Stuttgart,2,2,2,0,1.5,1.7
886,Bayern Munich,Eintracht Frankfurt,2,1,1,1,3.4,0.5
887,Mönchengladbach,Union Berlin,0,0,0,0,0.9,1.0
888,Darmstadt 98,Heidenheim,0,1,0,1,0.7,1.6
889,Mainz 05,Köln,1,1,0,0,1.6,2.6
890,Hoffenheim,RB Leipzig,1,1,1,1,1.6,0.8
891,Stuttgart,Bayern Munich,3,1,3,0,1.8,1.7
892,Köln,Freiburg,0,0,0,0,0.9,0.8
893,Werder Bremen,Mönchengladbach,2,2,2,1,1.4,1.9
894,Wolfsburg,Darmstadt 98,3,0,2,0,2.2,0.4
895,Dortmund,Augsburg,5,1,4,1,4.4,2.7
896,Eintracht Frankfurt,Bayer Leverkusen,1,5,1,3,2.0,2.7
897,Union Berlin,Bochum,3,4,3,4,0.9,1.4
898,Heidenheim,Mainz 05,1,1,1,1,0.9,1.4
899,Augsburg,Stuttgart,0,1,0,1,0.7,1.9
900,Köln,Union Berlin,3,2,2,1,3.2,1.6
901,Mönchengladbach,Eintracht Frankfurt,1,1,1,1,0.4,1.6
902,Freiburg,Heidenheim,1,1,1,1,1.5,0.7
903,Mainz 05,Dortmund,3,0,2,0,2.2,0.4
904,RB Leipzig,Werder Bremen,1,1,1,0,1.5,1.1
905,Bochum,Bayer Leverkusen,0,5,0,4,0.3,4.3
906,Darmstadt 98,Hoffenheim,0,6,0,6,0.6,3.3
907,Bayern Munich,Wolfsburg,2,0,2,0,0.3,0.2
908,Union Berlin,Freiburg,2,1,1,1,2.4,1.0
909,Heidenheim,Köln,4,1,2,0,1.0,2.3
910,Hoffenheim,Bayern Munich,4,2,3,2,1.8,1.5
911,Eintracht Frankfurt,RB Leipzig,2,2,1,1,2.1,1.6
912,Dortmund,Darmstadt 98,4,0,2,0,2.6,0.3
913,Wolfsburg,Mainz 05,1,3,1,2,0.8,1.8
914,Werder Bremen,Bochum,4,1,3,1,3.1,2.1
915,Bayer Leverkusen,Augsburg,2,1,1,1,2.4,1.2
916,Stuttgart,Mönchengladbach,4,0,4,0,1.6,1.5
