Home Team,Away Team,Home Goals,Away Goals,Home Ast,Away Ast,Home xG,Away xG
Werder Bremen,Bayern Munich,0,4,0,4,0.6,2.9
Hoffenheim,Freiburg,1,2,0,0,1.4,2.7
Bayer Leverkusen,RB Leipzig,3,2,3,2,1.4,1.6
Dortmund,Köln,1,0,1,0,2.1,1.3
Stuttgart,Bochum,5,0,5,0,3.1,0.8
Wolfsburg,Heidenheim,2,0,2,0,2.2,1.2
Augsburg,Mönchengladbach,4,4,3,3,2.3,1.7
Union Berlin,Mainz 05,4,1,4,0,1.9,2.3
Eintracht Frankfurt,Darmstadt 98,1,0,1,0,1.5,0.6
RB Leipzig,Stuttgart,5,1,3,1,1.8,1.1
Darmstadt 98,Union Berlin,1,4,0,3,2.3,1.7
Bochum,Dortmund,1,1,1,1,1.0,1.3
Köln,Wolfsburg,1,2,1,1,0.9,1.7
Mönchengladbach,Bayer Leverkusen,0,3,0,3,0.9,2.8
Heidenheim,Hoffenheim,2,3,1,1,2.5,3.0
Freiburg,Werder Bremen,1,0,1,0,2.7,1.1
Mainz 05,Eintracht Frankfurt,1,1,0,1,1.2,1.1
Bayern Munich,Augsburg,3,1,1,1,2.9,0.7
Dortmund,Heidenheim,2,2,1,1,3.4,2.4
Bayer Leverkusen,Darmstadt 98,5,1,5,1,2.8,0.4
Stuttgart,Freiburg,5,0,5,0,1.7,1.1
Augsburg,Bochum,2,2,1,2,2.2,1.7
Werder Bremen,Mainz 05,4,0,3,0,2.7,0.5
Mönchengladbach,Bayern Munich,1,2,1,2,0.3,2.4
Hoffenheim,Wolfsburg,3,1,3,1,2.0,1.2
Eintracht Frankfurt,Köln,1,1,1,0,1.4,0.9
Union Berlin,RB Leipzig,0,3,0,3,0.3,1.2
Bayern Munich,Bayer Leverkusen,2,2,1,0,2.1,2.1
Freiburg,Dortmund,2,4,2,4,1.1,2.4
Mainz 05,Stuttgart,1,3,1,3,1.0,1.6
Wolfsburg,Union Berlin,2,1,1,1,0.4,1.1
Bochum,Eintracht Frankfurt,1,1,0,0,2.0,0.6
RB Leipzig,Augsburg,3,0,3,0,1.1,1.7
Köln,Hoffenheim,1,3,1,1,1.0,1.0
Heidenheim,Werder Bremen,4,2,3,1,2.2,3.0
Darmstadt 98,Mönchengladbach,3,3,3,2,1.2,3.9
Stuttgart,Darmstadt 98,3,1,3,0,2.3,0.2
Bayern Munich,Bochum,7,0,5,0,5.1,0.1
Augsburg,Mainz 05,2,1,1,1,0.8,0.6
Werder Bremen,Köln,2,1,2,0,2.1,1.5
Dortmund,Wolfsburg,1,0,1,0,1.7,0.5
Union Berlin,Hoffenheim,0,2,0,1,1.6,2.0
Mönchengladbach,RB Leipzig,0,1,0,0,0.8,0.7
Bayer Leverkusen,Heidenheim,4,1,3,1,3.5,0.5
Eintracht Frankfurt,Freiburg,0,0,0,0,0.6,0.6
Hoffenheim,Dortmund,1,3,0,1,2.0,1.6
Heidenheim,Union Berlin,1,0,0,0,0.8,2.2
Bochum,Mönchengladbach,1,3,1,3,1.7,3.1
Köln,Stuttgart,0,2,0,1,0.7,2.7
Mainz 05,Bayer Leverkusen,0,3,0,1,0.5,1.1
RB Leipzig,Bayern Munich,2,2,2,1,0.7,2.4
Wolfsburg,Eintracht Frankfurt,2,0,0,0,3.3,1.3
Freiburg,Augsburg,2,0,1,0,1.0,0.8
Darmstadt 98,Werder Bremen,4,2,3,2,2.4,1.5
Mönchengladbach,Mainz 05,2,2,2,2,2.4,0.8
Werder Bremen,Hoffenheim,2,3,2,2,0.8,1.9
Dortmund,Union Berlin,4,2,2,1,1.6,1.4
Stuttgart,Wolfsburg,3,1,1,0,2.7,1.2
RB Leipzig,Bochum,0,0,0,0,2.5,0.4
Augsburg,Darmstadt 98,1,2,0,0,0.9,1.8
Eintracht Frankfurt,Heidenheim,2,0,1,0,1.9,1.2
