Home Team,Away Team,Home Goals,Away Goals,Home Ast,Away Ast,Home xG,Away xG,home_Gls,home_Sh,away_Gls,away_Sh
Mönchengladbach,Dortmund,1,2,1,1,1.2,1.3,55,451,68,506
Stuttgart,Eintracht Frankfurt,3,0,2,0,1.2,0.6,78,529,48,402
Mainz 05,Hoffenheim,4,1,4,1,2.2,0.5,38,476,65,457
Bayern Munich,Köln,2,0,1,0,2.2,0.9,93,633,28,441
Bochum,Heidenheim,1,1,1,0,1.3,1.1,41,524,46,392
Darmstadt 98,Freiburg,0,1,0,1,1.1,0.9,28,404,43,392
Bayer Leverkusen,Werder Bremen,5,0,4,0,3.2,0.7,87,611,45,407
Eintracht Frankfurt,Augsburg,3,1,2,1,1.8,0.5,48,402,49,429
Wolfsburg,Bochum,1,0,0,0,0.8,1.3,41,411,41,524
Heidenheim,RB Leipzig,1,2,1,1,1.0,1.8,46,392,74,528
Hoffenheim,Mönchengladbach,4,3,4,3,2.4,1.0,65,457,55,451
Union Berlin,Bayern Munich,1,5,1,4,1.4,1.4,33,403,93,633
Köln,Darmstadt 98,0,2,0,0,1.0,2.0,28,441,28,404
Dortmund,Bayer Leverkusen,1,1,1,1,0.5,1.1,68,506,87,611
Werder Bremen,Stuttgart,2,1,1,0,1.5,2.2,45,407,78,529
Freiburg,Mainz 05,1,1,1,1,1.1,1.1,43,392,38,476
Bochum,Hoffenheim,3,2,1,2,3.4,1.0,41,524,65,457
RB Leipzig,Dortmund,4,1,3,0,2.6,1.7,74,528,68,506
Freiburg,Wolfsburg,1,2,0,1,2.3,0.5,43,392,41,411
Augsburg,Werder Bremen,0,3,0,2,0.6,2.0,49,429,45,407
Bayer Leverkusen,Stuttgart,2,2,2,0,1.5,1.7,87,611,78,529
Bayern Munich,Eintracht Frankfurt,2,1,1,1,3.4,0.5,93,633,48,402
Mönchengladbach,Union Berlin,0,0,0,0,0.9,1.0,55,451,33,403
Darmstadt 98,Heidenheim,0,1,0,1,0.7,1.6,28,404,46,392
Mainz 05,Köln,1,1,0,0,1.6,2.6,38,476,28,441
Hoffenheim,RB Leipzig,1,1,1,1,1.6,0.8,65,457,74,528
Stuttgart,Bayern Munich,3,1,3,0,1.8,1.7,78,529,93,633
Köln,Freiburg,0,0,0,0,0.9,0.8,28,441,43,392
Werder Bremen,Mönchengladbach,2,2,2,1,1.4,1.9,45,407,55,451
Wolfsburg,Darmstadt 98,3,0,2,0,2.2,0.4,41,411,28,404
Dortmund,Augsburg,5,1,4,1,4.4,2.7,68,506,49,429
Eintracht Frankfurt,Bayer Leverkusen,1,5,1,3,2.0,2.7,48,402,87,611
Union Berlin,Bochum,3,4,3,4,0.9,1.4,33,403,41,524
Heidenheim,Mainz 05,1,1,1,1,0.9,1.4,46,392,38,476
Augsburg,Stuttgart,0,1,0,1,0.7,1.9,49,429,78,529
Köln,Union Berlin,3,2,2,1,3.2,1.6,28,441,33,403
