Date,Matchday,Home Team,Away Team
01.-11/03/2024,9,Bayer 04 Leverkusen,VfB Stuttgart
01.-11/03/2024,9,FC Bayern München,1. FC Union Berlin
01.-11/03/2024,9,Borussia Dortmund,RB Leipzig
01.-11/03/2024,9,Eintracht Frankfurt,VfL Bochum 1848
01.-11/03/2024,9,TSG Hoffenheim,FC St. Pauli
01.-11/03/2024,9,Sport-Club Freiburg,1. FSV Mainz 05
01.-11/03/2024,9,VfL Wolfsburg,FC Augsburg
01.-11/03/2024,9,Borussia Mönchengladbach,SV Werder Bremen
01.-11/03/2024,9,Holstein Kiel,1. FC Heidenheim 1846
