Date,Matchday,Home Team,Away Team
30.08.-09/01/2024,2,Bayer 04 Leverkusen,RB Leipzig
30.08.-09/01/2024,2,VfB Stuttgart,1. FSV Mainz 05
30.08.-09/01/2024,2,FC Bayern München,Sport-Club Freiburg
30.08.-09/01/2024,2,Eintracht Frankfurt,TSG Hoffenheim
30.08.-09/01/2024,2,1. FC Heidenheim 1846,FC Augsburg
30.08.-09/01/2024,2,SV Werder Bremen,Borussia Dortmund
30.08.-09/01/2024,2,1. FC Union Berlin,FC St. Pauli
30.08.-09/01/2024,2,VfL Bochum 1848,Borussia Mönchengladbach
30.08.-09/01/2024,2,Holstein Kiel,VfL Wolfsburg
