Date,Matchday,Home Team,Away Team
13.-09/15/2024,3,RB Leipzig,1. FC Union Berlin
13.-09/15/2024,3,Borussia Dortmund,1. FC Heidenheim 1846
13.-09/15/2024,3,TSG Hoffenheim,Bayer 04 Leverkusen
13.-09/15/2024,3,Sport-Club Freiburg,VfL Bochum 1848
13.-09/15/2024,3,FC Augsburg,FC St. Pauli
13.-09/15/2024,3,VfL Wolfsburg,Eintracht Frankfurt
13.-09/15/2024,3,1. FSV Mainz 05,SV Werder Bremen
13.-09/15/2024,3,Borussia Mönchengladbach,VfB Stuttgart
13.-09/15/2024,3,Holstein Kiel,FC Bayern München
