Date,Matchday,Home Team,Away Team
29.11.-12/01/2024,12,RB Leipzig,VfL Wolfsburg
29.11.-12/01/2024,12,Borussia Dortmund,FC Bayern München
29.11.-12/01/2024,12,1. FC Heidenheim 1846,Eintracht Frankfurt
29.11.-12/01/2024,12,SV Werder Bremen,VfB Stuttgart
29.11.-12/01/2024,12,Sport-Club Freiburg,Borussia Mönchengladbach
29.11.-12/01/2024,12,FC Augsburg,VfL Bochum 1848
29.11.-12/01/2024,12,1. FSV Mainz 05,TSG Hoffenheim
29.11.-12/01/2024,12,1. FC Union Berlin,Bayer 04 Leverkusen
29.11.-12/01/2024,12,FC St. Pauli,Holstein Kiel
