Date,Matchday,Home Team,Away Team
13.-12/15/2024,14,RB Leipzig,Eintracht Frankfurt
13.-12/15/2024,14,Borussia Dortmund,TSG Hoffenheim
13.-12/15/2024,14,1. FC Heidenheim 1846,VfB Stuttgart
13.-12/15/2024,14,Sport-Club Freiburg,VfL Wolfsburg
13.-12/15/2024,14,FC Augsburg,Bayer 04 Leverkusen
13.-12/15/2024,14,1. FSV Mainz 05,FC Bayern München
13.-12/15/2024,14,Borussia Mönchengladbach,Holstein Kiel
13.-12/15/2024,14,1. FC Union Berlin,VfL Bochum 1848
13.-12/15/2024,14,FC St. Pauli,SV Werder Bremen
