Date,Matchday,Home Team,Away Team
17.-01/19/2025,18,Bayer 04 Leverkusen,Borussia Mönchengladbach
17.-01/19/2025,18,VfB Stuttgart,Sport-Club Freiburg
17.-01/19/2025,18,FC Bayern München,VfL Wolfsburg
17.-01/19/2025,18,Eintracht Frankfurt,Borussia Dortmund
17.-01/19/2025,18,1. FC Heidenheim 1846,FC St. Pauli
17.-01/19/2025,18,SV Werder Bremen,FC Augsburg
17.-01/19/2025,18,1. FC Union Berlin,1. FSV Mainz 05
17.-01/19/2025,18,VfL Bochum 1848,RB Leipzig
17.-01/19/2025,18,Holstein Kiel,TSG Hoffenheim
