Date,Matchday,Home Team,Away Team
10.-01/12/2025,16,RB Leipzig,SV Werder Bremen
10.-01/12/2025,16,Borussia Dortmund,Bayer 04 Leverkusen
10.-01/12/2025,16,TSG Hoffenheim,VfL Wolfsburg
10.-01/12/2025,16,1. FC Heidenheim 1846,1. FC Union Berlin
10.-01/12/2025,16,Sport-Club Freiburg,Holstein Kiel
10.-01/12/2025,16,FC Augsburg,VfB Stuttgart
10.-01/12/2025,16,1. FSV Mainz 05,VfL Bochum 1848
10.-01/12/2025,16,Borussia Mönchengladbach,FC Bayern München
10.-01/12/2025,16,FC St. Pauli,Eintracht Frankfurt
