Date,Matchday,Home Team,Away Team
21.-02/23/2025,23,FC Bayern München,Eintracht Frankfurt
21.-02/23/2025,23,RB Leipzig,1. FC Heidenheim 1846
21.-02/23/2025,23,Borussia Dortmund,1. FC Union Berlin
21.-02/23/2025,23,TSG Hoffenheim,VfB Stuttgart
21.-02/23/2025,23,Sport-Club Freiburg,SV Werder Bremen
21.-02/23/2025,23,VfL Wolfsburg,VfL Bochum 1848
21.-02/23/2025,23,1. FSV Mainz 05,FC St. Pauli
21.-02/23/2025,23,Borussia Mönchengladbach,FC Augsburg
21.-02/23/2025,23,Holstein Kiel,Bayer 04 Leverkusen
