Date,Matchday,Home Team,Away Team
31.01.-02/02/2025,20,Bayer 04 Leverkusen,TSG Hoffenheim
31.01.-02/02/2025,20,VfB Stuttgart,Borussia Mönchengladbach
31.01.-02/02/2025,20,FC Bayern München,Holstein Kiel
31.01.-02/02/2025,20,Eintracht Frankfurt,VfL Wolfsburg
31.01.-02/02/2025,20,1. FC Heidenheim 1846,Borussia Dortmund
31.01.-02/02/2025,20,SV Werder Bremen,1. FSV Mainz 05
31.01.-02/02/2025,20,1. FC Union Berlin,RB Leipzig
31.01.-02/02/2025,20,VfL Bochum 1848,Sport-Club Freiburg
31.01.-02/02/2025,20,FC St. Pauli,FC Augsburg
