Date,Matchday,Home Team,Away Team
14./01/15/2025,17,Bayer 04 Leverkusen,1. FSV Mainz 05
14./01/15/2025,17,VfB Stuttgart,RB Leipzig
14./01/15/2025,17,FC Bayern München,TSG Hoffenheim
14./01/15/2025,17,Eintracht Frankfurt,Sport-Club Freiburg
14./01/15/2025,17,SV Werder Bremen,1. FC Heidenheim 1846
14./01/15/2025,17,VfL Wolfsburg,Borussia Mönchengladbach
14./01/15/2025,17,1. FC Union Berlin,FC Augsburg
14./01/15/2025,17,VfL Bochum 1848,FC St. Pauli
14./01/15/2025,17,Holstein Kiel,Borussia Dortmund
